"Ramo              ";"Razao             ";"Endereco          ";"Bairro            ";"CEP               ";"Cidade            ";"UF                ";"Contato           ";"Funcionarios      ";"Telefone          ";"Fax               ";"Site              ";"E-mail            ";"Produtos          "
"CONCESSIONARIAS ";" COTAC COM. DE TRATORES, AUTOMÓVEIS E CAMINHÕES LTDA. ";" Av. Francisco Ferreira Lopes, 700 ";" Brascubas ";" 08735-200 ";" Mogi das Cruzes ";" SP ";" ";" ";" (0xx11) 4795-8300 ";" (0xx11) 4795-8322 ";" www.chevrolet.com.br ";" cotac@abrac.com.br ";" Chevrolet; "
"EMPRESAS DIVERSAS ";" REDE GRANDE SÃO PAULO COMUNICAÇÃO S/A. ";" R. Ricardo Vilela, 568 ";" Centro ";" 08710-150 ";" Mogi das Cruzes ";" SP ";" Dir. Coml.: Tirreno Dasambiagio ";211;" (0xx11) 4798-9000 ";" (0xx11) 4799-8519 ";" www.diariodemogi.com.br ";" diario@netmogi.com.br ";"  "
"EMPRESAS DIVERSAS ";" WESSANEN DO BRASIL LTDA. ";" Estr. do Taboão, Km 03 ";" Taboão ";" 08701-970 ";" Mogi das Cruzes ";" SP ";" Dir. Coml.: José Ventura Sobrinho ";120;" (0xx11) 4727-7855 ";" (0xx11) 4727-7855 ";" www.wessanen.com.br ";" vendas@wessanen.com.br ";" Indústria de bebidas não alcoólicas; "
"SAÚDE ";" HOSPITAL E MATERNIDADE MOGI DOR LTDA. ";" R. Marechal Deodoro, 83 ";" Centro ";" 08715-087 ";" Mogi das Cruzes ";" SP ";" ";" ";" (0xx11) 4799-0123 ";" (0xx11) 4799-0123 ";" www.mogi-dor.com.br ";"  ";" Internação; pronto socorro; maternidade; "
"SAÚDE ";" SANTA CASA DE MISERICORDIA DE MOGI DAS CRUZES ";" R. Barão de Jaceguai, 1148 ";" Centro ";" 08710-087 ";" Mogi das Cruzes ";" SP ";" ";" ";" (0xx11) 4799-3222 ";" (0xx11) 4799-3222 ";"  ";"  ";" Internação e pronto socorro; "
"AGÊNCIA DE EMPREGO ";" APA TRABALHO TEMP. LTDA. ";" R. Cap. Manoel Caetano, 431 ";" Centro ";" 08710-190 ";" Mogi das Cruzes ";" SP ";" Dir. Coml.: Wilson de Souza Rodrigues ";18;" (0xx11) 4799-6055 ";" (0xx11) 4799-6055 ";"  ";"  ";"  "
"AGÊNCIA DE EMPREGO ";" NIC RECURSOS HUMANOS LTDA. ";" R. Basílio Batalha, 44 ";" Vl. Vitória ";" 08730-090 ";" Mogi das Cruzes ";" SP ";" Dirª Coml.: Nadir Isabel Coelho de Freitas ";10;" (0xx11) 4724-8499/9516 ";" (0xx11) 4724-8499 ";" www.nicempregos.com.br ";" nicempregos@nicempregos.com.br ";" Serviços temporários, efetivos e terceirizados; "
"AGÊNCIA DE EMPREGO ";" NOVA RECURSOS HUMANOS LTDA. ";" R. Dr. Ricardo Vilela, 271 ";" Centro ";" 08710-150 ";" Mogi das Cruzes ";" SP ";" ";" ";" (0xx11) 4726-3828 ";" (0xx11) 4726-1859 ";" www.novaempregos.com.br ";" novarecursos@novaempregos.com.br ";" Seleção de mão de obra efetiva e temporária; "
"AGÊNCIA DE EMPREGO ";" SOULAN CONSUL. E TRABAL. TEMP. LTDA. ";" R. Cel. Souza Franco, 56 ";" Centro ";" 08710-020 ";" Mogi das Cruzes ";" SP ";" Dir. Coml.: Ademir de Souza ";40;" (0xx11) 4799-7622 ";" (0xx11) 4799-1081 ";" www.soulan.com.br ";" mogi@soulan.com.br ";" Terceirização e administração de mão de obra; seleção de efetivos; "
"METALURGICA ";" SANDVIK VILLARES WIRE IND. E COM. LTDA. ";" Av. Suécia, 3.200 ";" Ch. Bela Vista ";" 13840-000 ";" Mogi Guaçu ";" SP ";" Dir. Coml.: Michel Mafif ";80;" (0xx19) 3861-9802 ";" (0xx19) 3861-9830 ";"  ";"  ";" Arames; "
"COSMÉTICOS ";" NY LOOKS IND. E COM. LTDA. ";" R. Vereador José Maria Rangel, 535 ";" Dist. Indl. Getúlio ";" 13840-000 ";" Mogi Guaçu ";" SP ";" Dir. Pres.: Alexandre Roméro ";290;" (0xx19) 3861-2345 ";" (0xx19) 3861-2345 ";" www.nylooks.com.br ";" nylooks@nylooks.com.br ";" Gel ; "
"ALIMENTICIA ";" PRODUCTS TRANSPORTE ALIMENTÍCIOS LTDA. ";" R. Euclides Toledo Pizza, 181 ";" ";" 13840-000 ";" Mogi Guaçu ";" SP ";" Ger.: Antônio M. Trenfin ";100;" (0xx19) 3841-8500 ";" (0xx19) 3841-8594 ";" www.tproducts.com.br ";"  ";" Alimentos; "
"CALCADOS ";" SAAD S/A. ";" R. Paula Bueno, 3.400 ";" Jd. Alvorada ";" 13840-000 ";" Mogi Guaçu ";" SP ";" Dir. Coml.: Alberto Nacim Saad ";200;" (0xx19) 3861-0443 ";" (0xx19) 3861-2999 ";"  ";"  ";" Tênis da marca “MALAC” e “NEW BALANCE”. "
"PLASTICOS ";" PLASTSEVEN IND. E COM. LTDA. ";" R. Barão de Mauá, 2400 ";" Dist. Indl. ";" 13846-300 ";" Mogi Guaçu ";" SP ";" Dir. Coml.: Rodrigo Zanco Bueno ";" ";" (0xx19) 3861-7351 ";" (0xx19) 3891-2372 ";" www.plastseven.com.br ";" plastseven@plastseven.com.br ";" Filme stretch-esticáveis; filmes encolhíveis; filmes de polietileno; filmes termoencolhíveis; "
"PAPEL E CELULOSE ";" INTERNATIONAL PAPER DO BRASIL LTDA. ";" Rodovia SP-340 - Km. 171 ";" ";" 13840-970 ";" Mogi Guaçu ";" SP ";" Cont. Coml.: Marcelo Paliares ";3500;" (0xx19) 3861-3263/8121/2462/820/8584 ";" (0xx19) 3861-1098 ";" www.internationalpaperdobrasil.com.br ";" sac@ipaperbr.com ";" Celulose; papéis; "
"CONSTRUCAO CIVIL ";" CERÂMICA CHIARELLI S/A. ";" R. Domingos Brunelli, 180 ";" ";" 13840-970 ";" Mogi Guaçu ";" SP ";" ";" ";" (0xx19) 3891-9280 ";" (0xx19) 3891-9273 ";" www.chiarelli.com.br ";" marketing@chiarelli.com.br ";" Pisos e revestimentos; "
"VEICULOS AUTOMOTORES ";" AUTOPLAST LUBFLON COM. IND. LTDA. ";" Av. Julio Xavier da Silva, 165 ";" ";" 13845-414 ";" Mogi Guaçu ";" SP ";" Cont. Coml.: Luiza/ Arnaldo ";" ";" (0xx11) 4121-6294 ";" (0xx11) 4124-6092 ";" www.autoplast.com.br ";" info@autoplast.com.br ";" Parte aérea; ferramentas especiais p/ troca de correia dentada; ferramentas p/ diversos modelos de veículos; tratamentodo motor com ptfe; "
"VEICULOS AUTOMOTORES ";" METALÚRGICA KRATER IND. E COM. LTDA. ";" Av. Suécia, 2870 ";" Centro ";" 13540-000 ";" Mogi Guaçu ";" SP ";" Dir. Coml.: Joel Bezerra ";" ";" (0xx19) 3841-2680/2679 ";" (0xx19) 3841-2681 ";" www.krater.com.br ";"  ";" Reparos p/ carburadores; kits p/ injeção eletrônica; "
"MECANICA ";" OMS OFICINA MECÂNICA SULAMERICANA LTDA. ";" Av. Pedro Botesi, 2700 ";" Jd. Silvania ";" 13806-095 ";" Mogi Mirim ";" SP ";" Cont. Vendas: Marilda Dante ";" ";" (0xx19) 3862-2737 ";" (0xx19) 3806-2494 ";" www.omsbrasil.com.br ";" oms@diginet.com.br ";" Fitas de arquear de polipropileno; máqs. p/ termo-retração;máqs. p/ envolvimento de filmes stretch; "
"METALURGICA ";" SACMI DO BRASIL IND. E COM. LTDA. ";" R. Imola, 133 ";" Maria Beatriz ";" 13800-970 ";" Mogi Mirim ";" SP ";" Ger. Coml.: Ermes Gaddoni ";" ";" (0xx19) 3806-2557 ";" (0xx19) 3806-4999 ";" www.negribossi.com.br ";" negribossi@negribossi.com.br ";" Esmirilhadeiras; moinhos; prensa; rotuladoras; "
"ELETRO ELETRONICA ";" IND. ELÉTRICA MARANGONI MARETTI LTDA. ";" Av. João Pinto, 898 ";" ";" 13800-970 ";" Mogi Mirim ";" SP ";" Dir. Coml.: Ricardo Antônio Brandão ";350;" (0xx19) 3805-9600/3806-3833 ";" (0xx19) 3805-9669 ";" www.marangoni.com.br ";" marangoni@marangoni.com.br ";" Autotransformadores, caixas vazias p/painéis, transformadores de distribuição, transformadores de transmissão, transformadores especiais. "
"ELETRO ELETRONICA ";" IND. ELETROMECÂNICA BALESTRO LTDA. ";" R. Santa Cruz, 1.550 ";" ";" 13800-970 ";" Mogi Mirim ";" SP ";" Dir. Técnico: Valentino Antonio Balestro ";" ";" (0xx19) 3806-3446 ";" (0xx19) 3806-3446 ";" www.balestro.com ";" balestro@balestro.com.br ";" Chave fusível; isolador p/ ancoragem; isolador elétrico; para-raios; "
"CALCADOS ";" SANDÁLIAS LEGITÍMA LTDA. ";" R. Campo Grande, 189 ";" Bairro do Mirante ";" 13800-000 ";" Mogi Mirim ";" SP ";" Dir. Coml.: Carlos Seksenian ";25;" (0xx19) 3862-1200 ";" (0xx19) 3662-1200 ";"  ";"  ";" Sandálias: masculina, feminina, infantil e também p/bebês. "
"MOVEIS E MADEIRA ";" INAMEL MÓVEIS DE AÇO LTDA. ";" Av. João Pinto, 55/333 ";" Pq. da Empresa ";" 13800-970 ";" Mogi Mirim ";" SP ";" ";" ";" (0xx19) 3806-5300 ";" (0xx19) 3806-5516 ";" www.inamel.com.br ";" inamel@dglnet.com.br ";" Móveis p/ cozinha; "
"CONSTRUCAO CIVIL ";" CORTAG IND. E COM. LTDA. ";" Av. Pedro Botesi, 2.660 ";" Jd. Planalto ";" 13806-095 ";" Mogi Mirim ";" SP ";" ";" ";" (0xx19) 3806-4847 ";" (0xx19) 3806-4847 ";" www.cortag.com.br ";" cortag@cortag.com.br ";" Alicates; bloco de espuma; cortadoras de piso; desempenadeiras; espaçadores; riscador; separador de piso; rodel; "
"CONSTRUCAO CIVIL ";" ENAPLIC IND. E COM. LTDA. ";" Av. João Pinto, 1146 ";" Pq. da Empresa ";" 13803-360 ";" Mogi Mirim ";" SP ";" Cont. Coml.: Rose ";" ";" (0xx19) 3814-4553 ";" (0xx19) 3814-4553 ";" www.enaplic.com.br ";" enaplic@enaplic.com.br ";" Automação em equips. p/ ind. cerâmica de revestimentos, sanitários, louças, moagens, prensas, serigrafias; "
"SAÚDE ";" BAUMER S/A. ";" Av. Pref. Antônio Tavares Leite, 181 ";" Pq. da Empresa ";" 13803-330 ";" Mogi Mirim ";" SP ";" Dir. Coml.: Ruy Salvare Baumer ";" ";" (0xx19) 3805-7655/3673-8555 ";" (0xx19) 3805-7551 ";" www.baumer.com.br ";" baumer@baumer.com.br ";" Lâmpadas cirúrgicas, móveis hospitalares e p/lavanderia; estufas de esterilização; lavadora extratora; "
"ALIMENTICIA ";" FRUTAS INDUSTRIALIZADAS “MONGAGUÁ” LTDA. ";" Av. D. Pedro I, 1.768 ";" Balneário Itaguai ";" 11730-000 ";" Mongaguá ";" SP ";" Dir. Coml.: José Spadoto ";40;" (0xx13) 446-1654 ";" (0xx13) 446-1166 ";"  ";"  ";" Doce de banana. "
"BORRACHA ";" FÁBRICA DE ARTEFS. DE BORRACHA CESTARI S/A. ";" R. Dr. Carlos Kielander, 02 ";" Centro ";" 15910-000 ";" Monte Alto ";" SP ";" ";" ";" (0xx16) 3242-2055 ";"  ";"  ";"  ";"  "
"VEICULOS AUTOMOTORES ";" CESTARI - INDL. E COML. S/A. ";" Via Monte Alto - Vista Alegre, Km 3 ";" ";" 15910-000 ";" Monte Alto ";" SP ";" Dirª. Coml.: Maria Inês Novaes Cestari ";600;" (0xx16) 3244-1022 ";" (0xx16) 3244-1025 ";" www.cestari.com.br ";" cestari@cestari.com.br ";" Auto peças e redutores. "
"MECANICA ";" ASVOTEC TERMOINDUSTRIAL LTDA. ";" Rod. Cónego Cyriaco S. Pires, KM 1 ";" ";" 13190-000 ";" Monte Mór ";" SP ";" ";253;" (0xx19) 3879-8777 ";" (0xx19) 3879-2179/8714 ";" www.asvotec.com.br ";" vendas@asvotec.com.br ";" Fornalhas e fornos industriais; "
"MECANICA ";" HAVER & BOECKER LATINOAMERICANA MÁQUINAS LTDA. ";" Rodovia Campinas/Monte Mór - Km 20 ";" ";" 13190-000 ";" Monte Mór ";" SP ";" Cont. Coml.: Camila Gonçalves ";" ";" (0xx19) 3879-9100/9168 ";" (0xx19) 3879-1410 ";" www.haverbrasil.com.br ";" haverhbl@haverbrasil.com.br ";" Dosadoras; embaladoras; ensacadeiras; envases p/ alimentos;esteiras transportadoras; seladoras; "
"MECANICA ";" JONFRA AUTOMAÇÃO INDL. LTDA. ";" R. Lázaro Dirceu Martimbianco, 95 ";" ";" 13190-000 ";" Monte Mór ";" SP ";" Dir. Sócio: Alexandre Luís de Melo ";35;" (0xx19) 3879-4004 ";" (0xx19) 3879-4005 ";" www.jonfra.com.br ";" atendimento@jonfra.com.br ";" Enfardadeiras; fontes chaveadas; máqs. de corte e solda; sopradoras; reles; sensores; degolador; "
"MOVEIS E MADEIRA ";" CELUPLAS PLÁSTICOS CELULARES LTDA. ";" Rod. SP 101 - Km 14,5 ";" Rezende ";" 13190-000 ";" Monte Mór ";" SP ";" ";" ";" (0xx19) 3879-5610/2223 ";" (0xx19) 3879-1363 ";" www.celuplas.com.br ";" celuplas@celuplas.com.br ";" Colchões; "
"SAÚDE ";" GVS DO BRASIL LTDA. ";" Rod. Cônego Cyriaco S. Pires, 251 ";" Jd. Progresso ";" 13190-000 ";" Monte Mór ";" SP ";" ";" ";" (0xx19) 3879-1011/3889-2444/2200 ";" (0xx19) 3879-2320 ";" www.gvs.com ";" gvs@gvs.com ";" Componentes e filtros p/ equips. de infusão, transfusão, emodiálise, nutrição parenteral e enteral, filtros p/ anestesiaepidural; "
"COURO ";" ORIGEM BRAS. IND. DE ARTEF. DE COUROS LTDA. ";" R. Ernesto Pop, 990 ";" Timbaúva ";" 95780-000 ";" Monte Negro ";" RS ";" Dir. Coml.: Luiz Link Burg ";15;" (0xx51) 632-4247 ";" (0xx51) 632-4231 ";"  ";"  ";" Jaquetas , bolsas e cintos. "
"INFORMATICA ";" CST COM. E SERVS. DE INFORM. LTDA. ";" R. João Pessoa, 2.204 ";" ";" 95780-000 ";" Montenegro ";" RS ";" ";" ";" (0xx51) 632-5300 ";" (0xx51) 632-5300 ";" www.sadig.com.br ";" comercial@sadig.com ";" Desenvolvimento de sistemas; "
"ALIMENTICIA ";" FRANGOSUL S/A AGRO AVÍCOLA INDL. ";" Estr. Buarque de Macedo, 3.620 ";" ";" 95780-000 ";" Montenegro ";" RS ";" Dir. Coml.: Luiz Becker ";7000;" (0xx51) 632-4444/0645 ";" (0xx51) 632-4884 ";" www.frangosul.com.br ";" fggrb@frangosul.com.br ";" Frangos congelados; e resfriados; salsicharias; rações e pintos. "
"ALIMENTICIA ";" MARSUL PROTEINAS LTDA. ";" R. Campos Neto, 1595 ";" Santa Rita ";" 95780-000 ";" Montenegro ";" RS ";" Dir. Pres.: João Daniel Martinelli ";" ";" (0xx51) 632-4266 ";" (0xx51) 632-4266 ";" www.marsul.com.br ";" keller@marsul.com.br ";" Formulados protéicos e alimentos institucionais; "
"COURO ";" BLACK MOUNTAIN IND. E COM. CONFECÇÕES LTDA. ";" R. Ernesto Pop, 990 ";" Timbaúva ";" 95780-000 ";" Montenegro ";" RS ";" ";" ";" (0xx51) 632-4247 ";" (0xx51) 632-4231 ";"  ";"  ";" Jaquetas de couro; "
"COURO ";" REDOLFI E CIA. LTDA. ";" Av. Julio Renner, 722 ";" Senai Montenegro ";" 95780-000 ";" Montenegro ";" RS ";" Dir. Coml.: Angelo Luidi Paties ";" ";" (0xx51) 632-2144 ";" (0xx51) 632-2144 ";" www.redolfi.com.br ";" redolfi@redolfi.com.br ";" Artefatos; "
"PAPEL E CELULOSE ";" VISUAL COM. DE BRINDES LTDA. ";" R. Tramandai, 40 ";" Centenário ";" 95780-000 ";" Montenegro ";" RS ";" ";" ";" (0xx51) 632-9310 ";" (0xx51) 632-9310 ";" www.visualbrindes.com.br ";" vendas@visualbrindes.com.br ";" Capas p/ computadores e impressoras; etiquetas em silicone eaço escovado; lacres de garantia; "
"ELETRO ELETRONICA ";" MIB S/A. ";" Av. Magalhães Pinto, 3789 ";" Planalto ";" 39404-166 ";" Montes Claros ";" MG ";" ";" ";" (0xx38) 3690-1550 ";" (0xx38) 3690-1559 ";" www.mibsa.com.br ";" mibsa@moc.mibsa.com.br ";" Painéis de alta, média e baixa tensão; "
"TEXTIL E VESTUARIO ";" CIA. DE TECIDOS NORTE DE MINAS - COTEMINAS ";" Av. Magalhães Pinto, 4000 ";" Planalto ";" 39404-166 ";" Montes Claros ";" MG ";" Dir. Pres.: José Alencar Gomes da Silva ";16000;" (0xx38) 3215-7777 ";" (0xx38) 3217-1633 ";" www.artex.com.br ";"  ";" Cama; mesa; banho; "
"VEICULOS AUTOMOTORES ";" JAN IMPLEMENTOS AGRÍCOLA S/A. ";" Av. Dr. Waldomiro Graeff, 557 ";" ";" 99470-000 ";" Não Me Toque ";" RS ";" Dir. Coml.: Nelio Brunhanzers ";" ";" (0xx54) 332-1744 ";" (0xx54) 332-1712 ";" www.jan.com.br ";" decom@jan.com.br ";" Veículos pesados, tratores e máqs. "
"ELETRO ELETRONICA ";" CIA. ENERGÉTICA DO RIO GRANDE DO NORTE - COSERN ";" R. Mermoz, 150 ";" ";" 59025-250 ";" Natal ";" RN ";" Dir. Pres.: José Roberto Bezerra de Medeiros ";" ";" (0xx84) 215-6107 ";" (0xx84) 211-3047 ";" www.cosern.com.br ";" cosern@cosern.com.br ";" Fornecimento de energia elétrica; "
"TEXTIL E VESTUARIO ";" GUARARAPES CONFECÇÕES S/A. ";" Rod. RN, 160 - Km 03 ";" Dist. Indl. ";" 59100-970 ";" Natal ";" RN ";" Dir. Coml.: Newton Ferreira Dumont ";6000;" (0xx84) 227-2329 ";" (0xx84) 277-2329/2337 ";" www.guararapes.ind.br ";" gonline@guararapes.ind.br ";" Calças e camisas masculinas; bermudas; cuecas; pólos; "
"EDITORA E GRAFICA ";" EDITORA DA UNIV. FEDERAL DO R. G. DO NORTE ";" Campus Universitário Lagoa Nova ";" ";" 59078-978 ";" Natal ";" RN ";" Dir. Pres.: Pedro Vicente ";" ";" (0xx84) 215-3236 ";" (0xx84) 215-3206 ";" www.editora.ufrn.br ";" edufrn@editora.ufrn.br ";"  "
"ELETRO ELETRONICA ";" LANCE ENGENHARIA LTDA ";" R. Germano Lemos, 341 ";" ";" 88375-000 ";" Navegantes ";" SC ";" ";" ";" (0xx47) 342-4410 ";" (0xx47) 342-4412 ";" www.lance.ind.br ";" lanceeng@terra.com.br ";" Buchas; calha p/ piso; eletrocalhas; isoladores;radiadores; relés; tanques; resinas isolantes; válvula de alívio de pressão. "
"MECANICA ";" DYNAMIC AIR LTDA. ";" Av. Mathias Lopes, 5821 ";" ";" 12940-000 ";" Nazaré Paulista ";" SP ";" ";" ";" (0xx11) 4597-8004 ";" (0xx11) 4597-8001 ";" www.dynamicair.com ";" dynamicair@dynamicair.com.br ";" Sistema de transporte pneumático; válvula borboleta; misturador de zona fluidizada e acoplamento p/ tubos; "
"ELETRO ELETRONICA ";" TECSYS SOLUÇÕES EM ENERGIA LTDA. ";" R. Gonçalves Ledo, 45 ";" ";" 24120-160 ";" Niterói ";" RJ ";" Dir. Coml.: Sidnei Pereira Pinto ";" ";" (0xx21) 2625-4345 ";" (0xx21) 2625-4345 ";" www.tecsy.com.br ";" servicos@tecsys.com.br ";" No-break; estabilizadores; geradores; "
"QUIMICA E FARMACEUTICA ";" INSTITUTO VITAL BRAZIL S/A. ";" R. Vital Brazil Filho, 64 ";" Stª Rosa ";" 24230-340 ";" Niterói ";" RJ ";" Dir. Coml.: Isaque Esteves ";600;" (0xx21) 2711-3131 ";" (0xx21) 2714-3198 ";"  ";"  ";" Farmacêuticos; "
"ALIMENTICIA ";" J. MACEDO ALIMENTOS S/A ";" Av. Feliciano Sodré, 325 ";" São Lorenço ";" 24030-012 ";" Niterói ";" RJ ";" Dir. Coml.: Meroveu Lira ";2100;" (0xx21) 2620-7755 ";" (0xx21) 2620-5309 ";" www.jmacedo.com.br ";"  ";" Indústria da farinha Dona Benta. "
"EDITORA E GRAFICA ";" EDITORA DA UNIV. FEDERAL FLUMINENSE ";" R. Miguel de Frias, 9 - anexo-sobrelj. ";" Icaraí ";" 24220-000 ";" Niterói ";" RJ ";" Dir. Coml.: Kalil ";" ";" (0xx21) 2704-2119 ";" (0xx21) 2621-6426 ";" www.uff.br/eduff ";" eduff@vm.uff.br ";"  "
"CONSTRUCAO CIVIL ";" PINTO DE ALMEIDA ENGENHARIA S/A. ";" R. Miguel de Frias, 77 - Cobertura ";" Icaraí ";" 24220-008 ";" Niterói ";" RJ ";" ";200;" (0xx21) 2620-1212 ";" (0xx21) 2620-2571 ";" www.pintodealmeida.com.br ";" pial.info@pintodealmeida.com.br ";" Construção civil em geral; "
"NAÚTICA ";" BAILLY INDUSTRIAL LTDA. ";" R. Maestro José Botelho, 79 ";" Vital Brasil ";" 24230-410 ";" Niterói ";" RJ ";" Dir. Coml.: Roberto Bailly ";" ";" (0xx21) 2610-0829/4448 ";" (0xx21) 2610-4448 ";" www.capaleve.com.br ";" info@bailly.com.br ";" Barcos; botes; infláveis; lanchas; veleiros; "
"CALCADOS ";" AXOM CALÇADOS LTDA. ";" R. C - Quadra D, nº 1 ";" Dist. Indl. ";" 95350-000 ";" Nova Araça ";" RS ";" ";" ";" (0xx54) 242-1955 ";" (0xx54) 242-1955 ";" www.axom.com.br ";" vendas@axom.com.br ";" Tênis e calçados esportivos masculinos e femininos; "
"CONSTRUCAO CIVIL ";" MEDABIL VARCO-PRUDEN S/A ";" R. Pinheiro Machado, 87 ";" ";" 95340-000 ";" Nova Bassano ";" RS ";" Dir. Pres.: Attilio Bilibio ";" ";" (0xx54) 273-4000 ";" (0xx54) 273-13803 ";" www.medabil.com.br ";" medabil@medabil.com.br ";" Forros e revestimentos; portas; divisórias; "
"PAPEL E CELULOSE ";" ORSA CELULOSE, PAPEL E EMBALAGENS S/A. ";" Rod. Luis José Sguario, Km 31 ";" Taguari Guassu ";" 18415-000 ";" Nova Campinas ";" SP ";" Dir. Pres.: Sérgio Amorosio ";2250;" (0xx15) 3521-9600 ";" (0xx15) 3521-9718 ";" www.orsaembalagens.com.br ";"  ";" Papelão ondulado; "
"ELETRO ELETRONICA ";" TECHNER DO BRASIL IND. E COM. LTDA. ";" Av. Floresta, 10-Altura RJ 130, KM 9 ";" Corrego Dantas ";" 28630-250 ";" Nova Friburgo ";" RJ ";" Cont. Coml.: Jovino Fernandes ";" ";" (0xx22) 2521-7177 ";" (0xx22) 2521-7177 ";" www.techner.com.br ";" techner@techner.com.br ";" Cofres eletrônicos; fechaduras eletrônicas p/ controle de acesso; catracas eletrônicas; "
"TEXTIL E VESTUARIO ";" SINIMBU-INDS. SINIMBU S/A. ";" R. Cons. Sinimbu, 188 a 208 ";" Perice ";" 28623-270 ";" Nova Friburgo ";" RJ ";" Dir. Coml.: James Cobb Strickland ";" ";" (0xx24) 522-6752 ";" (0xx24) 522-2416 ";"  ";"  ";" Fitas de cetim, fitas decorativas, elásticos p/lingerie, galões, cadarços. "
"COURO ";" TOPPING IND. E COM DE ACESSÓRIOS LTDA. ";" R. Paraná, 354 ";" Bela Vista ";" 28623-190 ";" Nova Friburgo ";" RJ ";" Dir. Sócio: Wagner Martins ";" ";" (0xx22) 2523-1207 ";" (0xx24) 2523-1678 ";" www.couthe.com.br ";" couthe@couthe.com.br ";" Bolsas; carteiras; pastas; mochilas; brindes; "
"EDITORA E GRAFICA ";" DALLEC - MB STUDIO GRÁFICO LTDA. ";" Rod. Friburgo - Teresópolis, Km 02 ";" ";" 28630-250 ";" Nova Friburgo ";" RJ ";" Dir. Coml.: Máscole ";" ";" (0xx24) 522-1402 ";" (0xx24) 522-4632 ";"  ";"  ";" Cartões. "
"CONSTRUCAO CIVIL ";" MAXSEAL IND. E COM. LTDA. ";" Av. N. Sra. do Amparo, 2.966-Galpão02 ";" Prado ";" 28635-000 ";" Nova Friburgo ";" RJ ";" ";" ";" (0xx24) 2527-3254 ";" (0xx24) 2527-3254 ";" www.maxseal.com.br ";" maxseal@maxseal.com.br ";" Anel de cera p/ instalação e vedação de vaso sanitário; "
"CONSTRUCAO CIVIL ";" STAM METALÚRGICA LTDA. ";" Av. Sebastião Martins, 871 ";" Conselheiro Paulino ";" 28635-430 ";" Nova Friburgo ";" RJ ";" Dir. Coml.: Fernando Farias ";900;" (0xx22) 2525-1000 ";" (0xx22) 2525-1020 ";" www.stam.com.br ";" info@stam.com.br ";" Fechaduras, fechos e trincos p/construção civil, cadeados. "
"CALCADOS ";" CALÇADOS MARTE LTDA. ";" R. Henrique Hoffmann, 3.095 ";" Imigrantes ";" 93890-000 ";" Nova Hartz ";" RS ";" Dir. Coml.: Daniel Gewehr ";2000;" (0xx51) 565-8000 ";" (0xx51) 565-8041 ";" www.viamarte.com ";" matriz@viamarte.com.br ";" Calçados femininos. "
"CALCADOS ";" CALÇADOS RACKET LTDA. ";" R. da Bica, 615 ";" Vl. Nova ";" 93890-000 ";" Nova Hartz ";" RS ";" Dir. Coml.: Urbano Elói ";500;" (0xx51) 565-1555 ";" (0xx51) 565-1350 ";" www.racket.com.br ";" racket@racket.com.br ";" Sandálias para senhoras, sapato tipo scorpam, mocassim parasenhora. "
"CALCADOS ";" CALÇADOS RAMARIM LTDA. ";" R. Angra dos Reis, 171 ";" das Rosas ";" 93890-000 ";" Nova Hartz ";" RS ";" Dir. Coml.: Marco Lourenço Müller ";3000;" (0xx51) 565-1155 ";" (0xx51) 565-1155 ";" www.ramarim.com.br ";" ramarim@ramarim.com.br ";" Calçados femininos. "
"CALCADOS ";" CALÇADOS SANDRA LTDA. ";" R. Henrique Hoffmann, 2.945 ";" ";" 93890-000 ";" Nova Hartz ";" RS ";" Dir. Coml.: Marcia Dörr ";" ";" (0xx51) 565-1122 ";" (0xx51) 565-1122 ";" www.sandra.com.br ";" sandra@sandra.com.br ";" Calçados femininos, bota, sandália e tamanco. "
"MECANICA ";" USIMECA USINA MECÂNICA CARIOCA S/A ";" Rod. Pres. Dutra, s/nº Km 181 ";" ";" 26285-001 ";" Nova Iguaçu ";" RJ ";" Ger. Vendas: Luiz Carlos Peixoto ";" ";" (0xx21) 2107-4000 ";" (0xx21) 2107-4072 ";" www.usimeca.com.br ";" compras@usimeca.com.br ";" Compactadores p/lixo; equips. p/ coleta e transportes de lixos; "
"COSMÉTICOS ";" EXPRESS COSMÉTICOS LTDA. ";" R. Maria de Andrade, 79 ";" Marco II ";" 26261-200 ";" Nova Iguaçu ";" RJ ";" Dir. Pres.: Itamar Serpa ";" ";" (0xx21) 2666-5909/4003-2667 ";" (0xx21) 2666-5909 ";" www.embelleze.com ";" vanesca@embelleze.com ";" Amacihair; Coloração; hair life; maxton; mocotó; natucor; jaborandi; semprebella mel e queratina; shampoo/pós sh.; transformação; "
"ALIMENTICIA ";" DALLARI S/A IND. ALIMENTÍCIA ";" R. Romano Dallari, 115 ";" Pq. Juscelino ";" 26225-550 ";" Nova Iguaçu ";" RJ ";" Dir. Coml.: Claudio Paulino ";" ";" (0xx21) 2796-3120 ";" (0xx21) 2796-3424 ";" www.dallari.com.br ";" dallari@dallari.com.br ";" Charques; linguiças; mortadelas. "
"MOVEIS E MADEIRA ";" MULTIFORM IND E COM DE MOBILIÁRIO ";" R. Frederico de Castro Pereira, 986 ";" Jd. Tropical ";" 26012-371 ";" Nova Iguaçu ";" RJ ";" Dir. Coml.: Carlos Sergio ";" ";" (0xx21) 2667-3899 ";" (0xx21) 2767-4014 ";"  ";"  ";" Móveis para hotelaria. "
